env_step,episode_reward,epoch,rollout_length,step
199.0,20.0,0.0,1.0,1
399.0,58.0,1.0,1.0,2
599.0,55.0,2.0,1.0,3
799.0,22.0,3.0,1.0,4
999.0,81.0,4.0,1.0,5
1199.0,54.0,5.0,1.0,6
1399.0,26.0,6.0,1.0,7
1599.0,12.0,7.0,1.0,8
1799.0,10.0,8.0,1.0,9
1999.0,10.0,9.0,1.0,10
2199.0,9.0,10.0,1.0,11
2399.0,12.0,11.0,1.0,12
2599.0,9.0,12.0,1.0,13
2799.0,10.0,13.0,1.0,14
2999.0,11.0,14.0,1.0,15
3199.0,9.0,15.0,1.0,16
3399.0,11.0,16.0,1.0,17
3599.0,9.0,17.0,1.0,18
3799.0,10.0,18.0,1.0,19
3999.0,11.0,19.0,1.0,20
4199.0,9.0,20.0,1.0,21
4399.0,10.0,21.0,1.0,22
4599.0,10.0,22.0,1.0,23
4799.0,11.0,23.0,1.0,24
4999.0,10.0,24.0,1.0,25
